latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
56.739,156.63,318.7,1.1,1.1,2016-06-08,0105,T,61,6.0NRT,291.5,14,D
56.658,157.07,328.4,1.1,1.1,2016-06-08,0105,T,85,6.0NRT,294.7,25.2,D
56.655,157.088,347.7,1.1,1.1,2016-06-08,0105,T,95,6.0NRT,294.6,64.4,D
56.74,156.572,345.6,1.1,1.1,2016-06-08,0105,T,94,6.0NRT,293.9,57.4,D
56.734,156.607,357.3,1.1,1.1,2016-06-08,0105,T,99,6.0NRT,295.6,85.7,D
56.73,156.625,333.3,1.1,1.1,2016-06-08,0105,T,87,6.0NRT,294.5,32.5,D
56.649,157.065,374.3,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,297.9,153.9,D
56.645,157.083,377.3,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,295.1,168.9,D
56.64,157.059,400.7,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,302.4,308.4,D
56.636,157.077,356.1,1.1,1.1,2016-06-08,0105,T,98,6.0NRT,293.3,87.2,D
56.727,156.559,319.1,1.1,1.1,2016-06-08,0105,T,36,6.0NRT,294.8,14.6,D
56.637,157.052,387.3,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,304.4,222.5,D
56.634,157.07,379.1,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,297.2,178.2,D
56.727,156.501,339,1.1,1.1,2016-06-08,0105,T,91,6.0NRT,291.7,45.1,D
56.724,156.519,323,1.1,1.1,2016-06-08,0105,T,64,6.0NRT,290.5,20,D
56.631,157.028,322.1,1.1,1.1,2016-06-08,0105,T,80,6.0NRT,294.7,19.6,D
56.628,157.046,370,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,294,138.2,D
56.625,157.064,326.9,1.1,1.1,2016-06-08,0105,T,82,6.0NRT,289.7,25.2,D
56.728,156.444,318.9,1.1,1,2016-06-08,0105,T,40,6.0NRT,288.9,17.1,D
56.725,156.461,322.1,1.1,1,2016-06-08,0105,T,62,6.0NRT,290,20.4,D
56.722,156.479,329.2,1.1,1,2016-06-08,0105,T,54,6.0NRT,292.4,27.5,D
56.718,156.496,328.6,1.1,1.1,2016-06-08,0105,T,60,6.0NRT,293,26,D
56.622,157.023,351.2,1.1,1.1,2016-06-08,0105,T,96,6.0NRT,293.4,74,D
56.619,157.041,335.6,1.1,1.1,2016-06-08,0105,T,89,6.0NRT,290.5,39.8,D
56.616,156.999,325,1.1,1.1,2016-06-08,0105,T,82,6.0NRT,290.3,22.5,D
56.707,156.393,320.6,1.1,1,2016-06-08,0105,T,42,6.0NRT,293.5,16.4,D
56.582,157.018,322.6,1.1,1.1,2016-06-08,0105,T,47,6.0NRT,291,19.4,D
56.658,156.498,331.4,1.1,1.1,2016-06-08,0105,T,86,6.0NRT,294.6,30.5,D
56.655,156.516,317.9,1.1,1.1,2016-06-08,0105,T,75,6.0NRT,292.1,12.9,D
56.555,157.002,348,1.1,1.1,2016-06-08,0105,T,95,6.0NRT,292.2,65.2,D
56.552,156.994,341.9,1.1,1.1,2016-06-08,0105,T,92,6.0NRT,292.3,52.6,D
56.54,157.006,310.4,1.1,1.1,2016-06-08,0105,T,36,6.0NRT,290.2,7.9,D
56.624,156.491,319.2,1.1,1.1,2016-06-08,0105,T,71,6.0NRT,291.2,14.3,D
56.621,156.508,327.7,1.1,1.1,2016-06-08,0105,T,84,6.0NRT,290.3,24.8,D
56.531,157,325.6,1.1,1.1,2016-06-08,0105,T,83,6.0NRT,291.2,25.2,D
56.615,156.486,322.8,1.1,1.1,2016-06-08,0105,T,80,6.0NRT,292.7,18.9,D
